date,province,producer,generation_type,megawatt_hours
2008-04,Ontario,electric utilities,wind power turbine,49234.0
2008-04,Ontario,industries,combustible fuels,139930.0
2008-04,Ontario,industries,hydraulic turbine,96337.0
2008-04,Prince Edward Island,electric utilities,combustible fuels,-224.0
2008-04,Prince Edward Island,electric utilities,wind power turbine,5499.0
2008-04,Quebec,electric utilities,combustible fuels,93031.0
2008-04,Quebec,electric utilities,hydraulic turbine,13982861.0
2008-04,Quebec,electric utilities,nuclear steam turbine,50704.0
2008-04,Quebec,electric utilities,wind power turbine,28550.0
2008-04,Quebec,industries,combustible fuels,33111.0
2008-04,Quebec,industries,hydraulic turbine,1483510.0
2008-04,Saskatchewan,electric utilities,combustible fuels,1138153.0
2008-04,Saskatchewan,electric utilities,hydraulic turbine,273481.0
2008-04,Saskatchewan,electric utilities,other types of electricity generation,0.0
2008-04,Saskatchewan,electric utilities,wind power turbine,41126.0
2008-04,Saskatchewan,industries,combustible fuels,21448.0
2008-04,Saskatchewan,industries,hydraulic turbine,0.0
2008-04,Yukon,electric utilities,combustible fuels,1870.0
2008-04,Yukon,electric utilities,hydraulic turbine,26489.0
2008-04,Yukon,electric utilities,wind power turbine,0.0
2008-04,Yukon,industries,combustible fuels,0.0
2008-05,Alberta,electric utilities,combustible fuels,4224989.0
2008-05,Alberta,electric utilities,hydraulic turbine,146529.0
2008-05,Alberta,electric utilities,other types of electricity generation,0.0
2008-05,Alberta,electric utilities,wind power turbine,3691.0
2008-05,Alberta,industries,combustible fuels,474635.0
2008-05,British Columbia,electric utilities,combustible fuels,292434.0
2008-05,British Columbia,electric utilities,hydraulic turbine,3185257.0
2008-05,British Columbia,industries,combustible fuels,235191.0
2008-05,British Columbia,industries,hydraulic turbine,973171.0
2008-05,Manitoba,electric utilities,combustible fuels,1130.0
2008-05,Manitoba,electric utilities,hydraulic turbine,2665053.0
2008-05,Manitoba,electric utilities,wind power turbine,0.0
2008-05,Manitoba,industries,combustible fuels,7170.0
2008-05,New Brunswick,electric utilities,combustible fuels,379449.0
2008-05,New Brunswick,electric utilities,hydraulic turbine,456709.0
2008-05,New Brunswick,electric utilities,nuclear steam turbine,-4493.0
2008-05,New Brunswick,electric utilities,wind power turbine,0.0
2008-05,New Brunswick,industries,combustible fuels,48258.0
2008-05,New Brunswick,industries,hydraulic turbine,0.0
2008-05,Newfoundland and Labrador,electric utilities,combustible fuels,87219.0
2008-05,Newfoundland and Labrador,electric utilities,hydraulic turbine,3413038.0
2008-05,Newfoundland and Labrador,electric utilities,wind power turbine,0.0
2008-05,Newfoundland and Labrador,industries,combustible fuels,23444.0
2008-05,Newfoundland and Labrador,industries,hydraulic turbine,63897.0
2008-05,Northwest Territories,electric utilities,combustible fuels,5860.0
2008-05,Northwest Territories,electric utilities,hydraulic turbine,15962.0
2008-05,Northwest Territories,industries,combustible fuels,29541.0
2008-05,Northwest Territories,industries,hydraulic turbine,0.0
2008-05,Northwest Territories,industries,wind power turbine,0.0
2008-05,Nova Scotia,electric utilities,combustible fuels,838892.0
2008-05,Nova Scotia,electric utilities,hydraulic turbine,84412.0
2008-05,Nova Scotia,electric utilities,tidal power turbine,2400.0
2008-05,Nova Scotia,electric utilities,wind power turbine,8993.0
2008-05,Nova Scotia,industries,combustible fuels,20210.0
2008-05,Nova Scotia,industries,hydraulic turbine,3563.0
2008-05,Nova Scotia,industries,wind power turbine,0.0
2008-05,Nunavut,electric utilities,combustible fuels,11999.0
2008-05,Nunavut,electric utilities,hydraulic turbine,0.0
2008-05,Nunavut,industries,combustible fuels,0.0
2008-05,Nunavut,industries,hydraulic turbine,0.0
2008-05,Ontario,electric utilities,combustible fuels,2129446.0
2008-05,Ontario,electric utilities,hydraulic turbine,4052238.0
2008-05,Ontario,electric utilities,nuclear steam turbine,6009263.0
2008-05,Ontario,electric utilities,other types of electricity generation,0.0
2008-05,Ontario,electric utilities,solar,0.0
2008-05,Ontario,electric utilities,wind power turbine,44593.0
2008-05,Ontario,industries,combustible fuels,125762.0
2008-05,Ontario,industries,hydraulic turbine,119840.0
2008-05,Prince Edward Island,electric utilities,combustible fuels,-170.0
2008-05,Prince Edward Island,electric utilities,wind power turbine,4859.0
2008-05,Quebec,electric utilities,combustible fuels,84074.0
2008-05,Quebec,electric utilities,hydraulic turbine,11995425.0
2008-05,Quebec,electric utilities,nuclear steam turbine,-4838.0
2008-05,Quebec,electric utilities,wind power turbine,20849.0
2008-05,Quebec,industries,combustible fuels,37233.0
2008-05,Quebec,industries,hydraulic turbine,1701892.0
2008-05,Saskatchewan,electric utilities,combustible fuels,1076541.0
2008-05,Saskatchewan,electric utilities,hydraulic turbine,308178.0
2008-05,Saskatchewan,electric utilities,other types of electricity generation,0.0
2008-05,Saskatchewan,electric utilities,wind power turbine,43085.0
2008-05,Saskatchewan,industries,combustible fuels,22444.0
2008-05,Saskatchewan,industries,hydraulic turbine,0.0
2008-05,Yukon,electric utilities,combustible fuels,1887.0
2008-05,Yukon,electric utilities,hydraulic turbine,24236.0
2008-05,Yukon,electric utilities,wind power turbine,175.0
2008-05,Yukon,industries,combustible fuels,0.0
2008-06,Alberta,electric utilities,combustible fuels,3676910.0
2008-06,Alberta,electric utilities,hydraulic turbine,311965.0
2008-06,Alberta,electric utilities,other types of electricity generation,0.0
2008-06,Alberta,electric utilities,wind power turbine,3272.0
2008-06,Alberta,industries,combustible fuels,440878.0
2008-06,British Columbia,electric utilities,combustible fuels,165155.0
2008-06,British Columbia,electric utilities,hydraulic turbine,3003384.0
2008-06,British Columbia,industries,combustible fuels,215056.0
2008-06,British Columbia,industries,hydraulic turbine,928210.0
2008-06,Manitoba,electric utilities,combustible fuels,5769.0
2008-06,Manitoba,electric utilities,hydraulic turbine,2524080.0
2008-06,Manitoba,electric utilities,wind power turbine,0.0
2008-06,Manitoba,industries,combustible fuels,7168.0
2008-06,New Brunswick,electric utilities,combustible fuels,609741.0
2008-06,New Brunswick,electric utilities,hydraulic turbine,223654.0
2008-06,New Brunswick,electric utilities,nuclear steam turbine,0.0
2008-06,New Brunswick,electric utilities,wind power turbine,0.0
2008-06,New Brunswick,industries,combustible fuels,50288.0
2008-06,New Brunswick,industries,hydraulic turbine,0.0
2008-06,Newfoundland and Labrador,electric utilities,combustible fuels,19797.0
2008-06,Newfoundland and Labrador,electric utilities,hydraulic turbine,2575978.0
2008-06,Newfoundland and Labrador,electric utilities,wind power turbine,0.0
2008-06,Newfoundland and Labrador,industries,combustible fuels,21709.0
2008-06,Newfoundland and Labrador,industries,hydraulic turbine,50616.0
2008-06,Northwest Territories,electric utilities,combustible fuels,4931.0
2008-06,Northwest Territories,electric utilities,hydraulic turbine,15009.0
2008-06,Northwest Territories,industries,combustible fuels,27571.0
2008-06,Northwest Territories,industries,hydraulic turbine,0.0
2008-06,Northwest Territories,industries,wind power turbine,0.0
2008-06,Nova Scotia,electric utilities,combustible fuels,812221.0
2008-06,Nova Scotia,electric utilities,hydraulic turbine,63064.0
2008-06,Nova Scotia,electric utilities,tidal power turbine,1249.0
2008-06,Nova Scotia,electric utilities,wind power turbine,4064.0
2008-06,Nova Scotia,industries,combustible fuels,19172.0
2008-06,Nova Scotia,industries,hydraulic turbine,3438.0
2008-06,Nova Scotia,industries,wind power turbine,0.0
2008-06,Nunavut,electric utilities,combustible fuels,11126.0
2008-06,Nunavut,electric utilities,hydraulic turbine,0.0
2008-06,Nunavut,industries,combustible fuels,0.0
2008-06,Nunavut,industries,hydraulic turbine,0.0
2008-06,Ontario,electric utilities,combustible fuels,3098918.0
2008-06,Ontario,electric utilities,hydraulic turbine,3392088.0
2008-06,Ontario,electric utilities,nuclear steam turbine,6447383.0
2008-06,Ontario,electric utilities,other types of electricity generation,0.0
2008-06,Ontario,electric utilities,solar,0.0
2008-06,Ontario,electric utilities,wind power turbine,36210.0
2008-06,Ontario,industries,combustible fuels,104792.0
2008-06,Ontario,industries,hydraulic turbine,112801.0
2008-06,Prince Edward Island,electric utilities,combustible fuels,-129.0
2008-06,Prince Edward Island,electric utilities,wind power turbine,4937.0
2008-06,Quebec,electric utilities,combustible fuels,96238.0
2008-06,Quebec,electric utilities,hydraulic turbine,12073249.0
2008-06,Quebec,electric utilities,nuclear steam turbine,195310.0
2008-06,Quebec,electric utilities,wind power turbine,22249.0
2008-06,Quebec,industries,combustible fuels,40446.0
2008-06,Quebec,industries,hydraulic turbine,1950984.0
2008-06,Saskatchewan,electric utilities,combustible fuels,959051.0
2008-06,Saskatchewan,electric utilities,hydraulic turbine,556802.0
2008-06,Saskatchewan,electric utilities,other types of electricity generation,0.0
2008-06,Saskatchewan,electric utilities,wind power turbine,29684.0
2008-06,Saskatchewan,industries,combustible fuels,24404.0
2008-06,Saskatchewan,industries,hydraulic turbine,0.0
2008-06,Yukon,electric utilities,combustible fuels,1637.0
2008-06,Yukon,electric utilities,hydraulic turbine,24392.0
2008-06,Yukon,electric utilities,wind power turbine,40.0
2008-06,Yukon,industries,combustible fuels,0.0
2008-07,Alberta,electric utilities,combustible fuels,4177719.0
2008-07,Alberta,electric utilities,hydraulic turbine,295147.0
2008-07,Alberta,electric utilities,other types of electricity generation,0.0
2008-07,Alberta,electric utilities,wind power turbine,2844.0
2008-07,Alberta,industries,combustible fuels,482782.0
2008-07,British Columbia,electric utilities,combustible fuels,315325.0
2008-07,British Columbia,electric utilities,hydraulic turbine,4049222.0
2008-07,British Columbia,industries,combustible fuels,263115.0
2008-07,British Columbia,industries,hydraulic turbine,957201.0
2008-07,Manitoba,electric utilities,combustible fuels,37107.0
2008-07,Manitoba,electric utilities,hydraulic turbine,3053025.0
2008-07,Manitoba,electric utilities,wind power turbine,0.0
2008-07,Manitoba,industries,combustible fuels,0.0
2008-07,New Brunswick,electric utilities,combustible fuels,714251.0
2008-07,New Brunswick,electric utilities,hydraulic turbine,267831.0
2008-07,New Brunswick,electric utilities,nuclear steam turbine,-3952.0
2008-07,New Brunswick,electric utilities,wind power turbine,0.0
2008-07,New Brunswick,industries,combustible fuels,46652.0
2008-07,New Brunswick,industries,hydraulic turbine,0.0
2008-07,Newfoundland and Labrador,electric utilities,combustible fuels,3994.0
2008-07,Newfoundland and Labrador,electric utilities,hydraulic turbine,2834438.0
2008-07,Newfoundland and Labrador,electric utilities,wind power turbine,0.0
2008-07,Newfoundland and Labrador,industries,combustible fuels,24087.0
2008-07,Newfoundland and Labrador,industries,hydraulic turbine,50801.0
2008-07,Northwest Territories,electric utilities,combustible fuels,6914.0
2008-07,Northwest Territories,electric utilities,hydraulic turbine,17702.0
2008-07,Northwest Territories,industries,combustible fuels,28148.0
2008-07,Northwest Territories,industries,hydraulic turbine,0.0
2008-07,Northwest Territories,industries,wind power turbine,0.0
2008-07,Nova Scotia,electric utilities,combustible fuels,864190.0
2008-07,Nova Scotia,electric utilities,hydraulic turbine,51833.0
2008-07,Nova Scotia,electric utilities,tidal power turbine,-115.0
2008-07,Nova Scotia,electric utilities,wind power turbine,4888.0
2008-07,Nova Scotia,industries,combustible fuels,15017.0
2008-07,Nova Scotia,industries,hydraulic turbine,2295.0
2008-07,Nova Scotia,industries,wind power turbine,0.0
2008-07,Nunavut,electric utilities,combustible fuels,11033.0
2008-07,Nunavut,electric utilities,hydraulic turbine,0.0
2008-07,Nunavut,industries,combustible fuels,0.0
2008-07,Nunavut,industries,hydraulic turbine,0.0
2008-07,Ontario,electric utilities,combustible fuels,3151336.0
2008-07,Ontario,electric utilities,hydraulic turbine,3582412.0
2008-07,Ontario,electric utilities,nuclear steam turbine,7405775.0
2008-07,Ontario,electric utilities,other types of electricity generation,0.0
2008-07,Ontario,electric utilities,solar,0.0
2008-07,Ontario,electric utilities,wind power turbine,23116.0
2008-07,Ontario,industries,combustible fuels,110856.0
2008-07,Ontario,industries,hydraulic turbine,117298.0
2008-07,Prince Edward Island,electric utilities,combustible fuels,-156.0
2008-07,Prince Edward Island,electric utilities,wind power turbine,4538.0
2008-07,Quebec,electric utilities,combustible fuels,87400.0
2008-07,Quebec,electric utilities,hydraulic turbine,11951861.0
2008-07,Quebec,electric utilities,nuclear steam turbine,449968.0
2008-07,Quebec,electric utilities,wind power turbine,26345.0
2008-07,Quebec,industries,combustible fuels,42555.0
2008-07,Quebec,industries,hydraulic turbine,2232749.0
2008-07,Saskatchewan,electric utilities,combustible fuels,1106581.0
2008-07,Saskatchewan,electric utilities,hydraulic turbine,482403.0
2008-07,Saskatchewan,electric utilities,other types of electricity generation,0.0
2008-07,Saskatchewan,electric utilities,wind power turbine,28777.0
2008-07,Saskatchewan,industries,combustible fuels,21839.0
2008-07,Saskatchewan,industries,hydraulic turbine,0.0
2008-07,Yukon,electric utilities,combustible fuels,1592.0
2008-07,Yukon,electric utilities,hydraulic turbine,24138.0
2008-07,Yukon,electric utilities,wind power turbine,71.0
2008-07,Yukon,industries,combustible fuels,0.0
2008-08,Alberta,electric utilities,combustible fuels,4239038.0
2008-08,Alberta,electric utilities,hydraulic turbine,180420.0
2008-08,Alberta,electric utilities,other types of electricity generation,0.0
2008-08,Alberta,electric utilities,wind power turbine,3920.0
2008-08,Alberta,industries,combustible fuels,494504.0
2008-08,British Columbia,electric utilities,combustible fuels,334677.0
2008-08,British Columbia,electric utilities,hydraulic turbine,4096427.0
2008-08,British Columbia,industries,combustible fuels,255077.0
2008-08,British Columbia,industries,hydraulic turbine,846794.0
2008-08,Manitoba,electric utilities,combustible fuels,56454.0
2008-08,Manitoba,electric utilities,hydraulic turbine,3144997.0
