"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971/1972","Manitoba","2016A000246","Births","Persons","249","units","0","v391081","8.1","17627","","","","0"
"1971/1972","Manitoba","2016A000246","Deaths","Persons","249","units","0","v391096","8.2","8022","","","","0"
"1971/1972","Manitoba","2016A000246","Immigrants","Persons","249","units","0","v391111","8.3","5086","","","","0"
"1971/1972","Manitoba","2016A000246","Net emigration","Persons","249","units","0","v1566834750","8.13","963","","","","0"
"1971/1972","Manitoba","2016A000246","Emigrants","Persons","249","units","0","v29768554","8.9","2495","","","","0"
"1971/1972","Manitoba","2016A000246","Returning emigrants","Persons","249","units","0","v29768555","8.10","1532","","","","0"
"1971/1972","Manitoba","2016A000246","Net non-permanent residents","Persons","249","units","0","v29768557","8.12","82","","","","0"
"1971/1972","Manitoba","2016A000246","Net interprovincial migration","Persons","249","units","0","v391140","8.5","-8880","","","","0"
"1971/1972","Manitoba","2016A000246","Residual deviation","Persons","249","units","0","v53437079","8.8","-2154","","","","0"
"1971/1972","Saskatchewan","2016A000247","Births","Persons","249","units","0","v391082","9.1","15456","","","","0"
"1971/1972","Saskatchewan","2016A000247","Deaths","Persons","249","units","0","v391097","9.2","7563","","","","0"
"1971/1972","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v391112","9.3","1479","","","","0"
"1971/1972","Saskatchewan","2016A000247","Net emigration","Persons","249","units","0","v1566834751","9.13","457","","","","0"
"1971/1972","Saskatchewan","2016A000247","Emigrants","Persons","249","units","0","v29768558","9.9","1268","","","","0"
"1971/1972","Saskatchewan","2016A000247","Returning emigrants","Persons","249","units","0","v29768559","9.10","811","","","","0"
"1971/1972","Saskatchewan","2016A000247","Net non-permanent residents","Persons","249","units","0","v29768561","9.12","51","","","","0"
"1971/1972","Saskatchewan","2016A000247","Net interprovincial migration","Persons","249","units","0","v391141","9.5","-18995","","","","0"
"1971/1972","Saskatchewan","2016A000247","Residual deviation","Persons","249","units","0","v53437080","9.8","-1229","","","","0"
"1971/1972","Alberta","2016A000248","Births","Persons","249","units","0","v391083","10.1","29384","","","","0"
"1971/1972","Alberta","2016A000248","Deaths","Persons","249","units","0","v391098","10.2","10786","","","","0"
"1971/1972","Alberta","2016A000248","Immigrants","Persons","249","units","0","v391113","10.3","8243","","","","0"
"1971/1972","Alberta","2016A000248","Net emigration","Persons","249","units","0","v1566834752","10.13","3310","","","","0"
"1971/1972","Alberta","2016A000248","Emigrants","Persons","249","units","0","v29768562","10.9","8108","","","","0"
"1971/1972","Alberta","2016A000248","Returning emigrants","Persons","249","units","0","v29768563","10.10","4798","","","","0"
"1971/1972","Alberta","2016A000248","Net non-permanent residents","Persons","249","units","0","v29768565","10.12","265","","","","0"
"1971/1972","Alberta","2016A000248","Net interprovincial migration","Persons","249","units","0","v391142","10.5","4190","","","","0"
"1971/1972","Alberta","2016A000248","Residual deviation","Persons","249","units","0","v53437081","10.8","387","","","","0"
"1971/1972","British Columbia","2016A000259","Births","Persons","249","units","0","v391071","11.1","34478","","","","0"
"1971/1972","British Columbia","2016A000259","Deaths","Persons","249","units","0","v391086","11.2","17798","","","","0"
"1971/1972","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v391101","11.3","18402","","","","0"
"1971/1972","British Columbia","2016A000259","Net emigration","Persons","249","units","0","v1566834753","11.13","3576","","","","0"
"1971/1972","British Columbia","2016A000259","Emigrants","Persons","249","units","0","v29768566","11.9","8531","","","","0"
"1971/1972","British Columbia","2016A000259","Returning emigrants","Persons","249","units","0","v29768567","11.10","4955","","","","0"
"1971/1972","British Columbia","2016A000259","Net non-permanent residents","Persons","249","units","0","v29768569","11.12","285","","","","0"
"1971/1972","British Columbia","2016A000259","Net interprovincial migration","Persons","249","units","0","v391130","11.5","28088","","","","0"
"1971/1972","British Columbia","2016A000259","Residual deviation","Persons","249","units","0","v53437082","11.8","1737","","","","0"
"1971/1972","Yukon","2016A000260","Births","Persons","249","units","0","v391072","12.1","447","","","","0"
"1971/1972","Yukon","2016A000260","Deaths","Persons","249","units","0","v391087","12.2","104","","","","0"
"1971/1972","Yukon","2016A000260","Immigrants","Persons","249","units","0","v391102","12.3","70","","","","0"
"1971/1972","Yukon","2016A000260","Net emigration","Persons","249","units","0","v1566834754","12.13","40","","","","0"
"1971/1972","Yukon","2016A000260","Emigrants","Persons","249","units","0","v29768570","12.9","87","","","","0"
"1971/1972","Yukon","2016A000260","Returning emigrants","Persons","249","units","0","v29768571","12.10","47","","","","0"
"1971/1972","Yukon","2016A000260","Net non-permanent residents","Persons","249","units","0","v29768573","12.12","5","","","","0"
"1971/1972","Yukon","2016A000260","Net interprovincial migration","Persons","249","units","0","v391131","12.5","686","","","","0"
"1971/1972","Yukon","2016A000260","Residual deviation","Persons","249","units","0","v53437083","12.8","88","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Births","Persons","249","units","0","v391073","13.1","1322","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Deaths","Persons","249","units","0","v391088","13.2","260","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Immigrants","Persons","249","units","0","v391103","13.3","115","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Net emigration","Persons","249","units","0","v1566834755","13.13","12","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Emigrants","Persons","249","units","0","v29768574","13.9","31","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Returning emigrants","Persons","249","units","0","v29768575","13.10","19","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Net non-permanent residents","Persons","249","units","0","v29768577","13.12","-1","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Net interprovincial migration","Persons","249","units","0","v391132","13.5","1075","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Residual deviation","Persons","249","units","0","v391177","13.8","134","","","","0"
"1972/1973","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","345815","","","","0"
"1972/1973","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","162618","","","","0"
"1972/1973","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","138526","","","","0"
"1972/1973","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","27733","","","","0"
"1972/1973","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","63850","","","","0"
"1972/1973","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","36117","","","","0"
"1972/1973","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","7994","","","","0"
"1972/1973","Canada","2016A000011124","Residual deviation","Persons","249","units","0","v53437072","1.8","-28670","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Births","Persons","249","units","0","v391070","2.1","12624","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Deaths","Persons","249","units","0","v391085","2.2","3400","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v391100","2.3","751","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834744","2.13","184","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29768530","2.9","427","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Returning emigrants","Persons","249","units","0","v29768531","2.10","243","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Net non-permanent residents","Persons","249","units","0","v29768533","2.12","75","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Net interprovincial migration","Persons","249","units","0","v391129","2.5","-777","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Residual deviation","Persons","249","units","0","v53437073","2.8","-2652","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Births","Persons","249","units","0","v391076","3.1","1897","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Deaths","Persons","249","units","0","v391091","3.2","1013","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Immigrants","Persons","249","units","0","v391106","3.3","171","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Net emigration","Persons","249","units","0","v1566834745","3.13","43","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Emigrants","Persons","249","units","0","v29768534","3.9","103","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Returning emigrants","Persons","249","units","0","v29768535","3.10","60","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Net non-permanent residents","Persons","249","units","0","v29768537","3.12","6","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Net interprovincial migration","Persons","249","units","0","v391135","3.5","782","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Residual deviation","Persons","249","units","0","v53437074","3.8","-640","","","","0"
"1972/1973","Nova Scotia","2016A000212","Births","Persons","249","units","0","v391077","4.1","13414","","","","0"
"1972/1973","Nova Scotia","2016A000212","Deaths","Persons","249","units","0","v391092","4.2","6897","","","","0"
"1972/1973","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v391107","4.3","1923","","","","0"
"1972/1973","Nova Scotia","2016A000212","Net emigration","Persons","249","units","0","v1566834746","4.13","253","","","","0"
"1972/1973","Nova Scotia","2016A000212","Emigrants","Persons","249","units","0","v29768538","4.9","597","","","","0"
"1972/1973","Nova Scotia","2016A000212","Returning emigrants","Persons","249","units","0","v29768539","4.10","344","","","","0"
"1972/1973","Nova Scotia","2016A000212","Net non-permanent residents","Persons","249","units","0","v29768541","4.12","131","","","","0"
"1972/1973","Nova Scotia","2016A000212","Net interprovincial migration","Persons","249","units","0","v391136","4.5","4851","","","","0"
"1972/1973","Nova Scotia","2016A000212","Residual deviation","Persons","249","units","0","v53437075","4.8","-3038","","","","0"
"1972/1973","New Brunswick","2016A000213","Births","Persons","249","units","0","v391078","5.1","11625","","","","0"
"1972/1973","New Brunswick","2016A000213","Deaths","Persons","249","units","0","v391093","5.2","5023","","","","0"
"1972/1973","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v391108","5.3","1428","","","","0"
"1972/1973","New Brunswick","2016A000213","Net emigration","Persons","249","units","0","v1566834747","5.13","459","","","","0"
"1972/1973","New Brunswick","2016A000213","Emigrants","Persons","249","units","0","v29768542","5.9","1081","","","","0"
"1972/1973","New Brunswick","2016A000213","Returning emigrants","Persons","249","units","0","v29768543","5.10","622","","","","0"
"1972/1973","New Brunswick","2016A000213","Net non-permanent residents","Persons","249","units","0","v29768545","5.12","94","","","","0"
"1972/1973","New Brunswick","2016A000213","Net interprovincial migration","Persons","249","units","0","v391137","5.5","2102","","","","0"
"1972/1973","New Brunswick","2016A000213","Residual deviation","Persons","249","units","0","v53437076","5.8","-1816","","","","0"
"1972/1973","Quebec","2016A000224","Births","Persons","249","units","0","v391079","6.1","83801","","","","0"
"1972/1973","Quebec","2016A000224","Deaths","Persons","249","units","0","v391094","6.2","42401","","","","0"
"1972/1973","Quebec","2016A000224","Immigrants","Persons","249","units","0","v391109","6.3","19861","","","","0"
"1972/1973","Quebec","2016A000224","Net emigration","Persons","249","units","0","v1566834748","6.13","4644","","","","0"
"1972/1973","Quebec","2016A000224","Emigrants","Persons","249","units","0","v29768546","6.9","11054","","","","0"
"1972/1973","Quebec","2016A000224","Returning emigrants","Persons","249","units","0","v29768547","6.10","6410","","","","0"
"1972/1973","Quebec","2016A000224","Net non-permanent residents","Persons","249","units","0","v29768549","6.12","1664","","","","0"
"1972/1973","Quebec","2016A000224","Net interprovincial migration","Persons","249","units","0","v391138","6.5","-19754","","","","0"
"1972/1973","Quebec","2016A000224","Residual deviation","Persons","249","units","0","v53437077","6.8","406","","","","0"
"1972/1973","Ontario","2016A000235","Births","Persons","249","units","0","v391080","7.1","124353","","","","0"
"1972/1973","Ontario","2016A000235","Deaths","Persons","249","units","0","v391095","7.2","59033","","","","0"
"1972/1973","Ontario","2016A000235","Immigrants","Persons","249","units","0","v391110","7.3","75267","","","","0"
"1972/1973","Ontario","2016A000235","Net emigration","Persons","249","units","0","v1566834749","7.13","13383","","","","0"
"1972/1973","Ontario","2016A000235","Emigrants","Persons","249","units","0","v29768550","7.9","30646","","","","0"
"1972/1973","Ontario","2016A000235","Returning emigrants","Persons","249","units","0","v29768551","7.10","17263","","","","0"
"1972/1973","Ontario","2016A000235","Net non-permanent residents","Persons","249","units","0","v29768553","7.12","4180","","","","0"
"1972/1973","Ontario","2016A000235","Net interprovincial migration","Persons","249","units","0","v391139","7.5","940","","","","0"
"1972/1973","Ontario","2016A000235","Residual deviation","Persons","249","units","0","v53437078","7.8","-19894","","","","0"
"1972/1973","Manitoba","2016A000246","Births","Persons","249","units","0","v391081","8.1","16990","","","","0"
"1972/1973","Manitoba","2016A000246","Deaths","Persons","249","units","0","v391096","8.2","8236","","","","0"
"1972/1973","Manitoba","2016A000246","Immigrants","Persons","249","units","0","v391111","8.3","5352","","","","0"
"1972/1973","Manitoba","2016A000246","Net emigration","Persons","249","units","0","v1566834750","8.13","999","","","","0"
"1972/1973","Manitoba","2016A000246","Emigrants","Persons","249","units","0","v29768554","8.9","2387","","","","0"
"1972/1973","Manitoba","2016A000246","Returning emigrants","Persons","249","units","0","v29768555","8.10","1388","","","","0"
"1972/1973","Manitoba","2016A000246","Net non-permanent residents","Persons","249","units","0","v29768557","8.12","237","","","","0"
"1972/1973","Manitoba","2016A000246","Net interprovincial migration","Persons","249","units","0","v391140","8.5","-5489","","","","0"
"1972/1973","Manitoba","2016A000246","Residual deviation","Persons","249","units","0","v53437079","8.8","-2149","","","","0"
"1972/1973","Saskatchewan","2016A000247","Births","Persons","249","units","0","v391082","9.1","15280","","","","0"
"1972/1973","Saskatchewan","2016A000247","Deaths","Persons","249","units","0","v391097","9.2","7591","","","","0"
"1972/1973","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v391112","9.3","1555","","","","0"
"1972/1973","Saskatchewan","2016A000247","Net emigration","Persons","249","units","0","v1566834751","9.13","474","","","","0"
"1972/1973","Saskatchewan","2016A000247","Emigrants","Persons","249","units","0","v29768558","9.9","1197","","","","0"
"1972/1973","Saskatchewan","2016A000247","Returning emigrants","Persons","249","units","0","v29768559","9.10","723","","","","0"
"1972/1973","Saskatchewan","2016A000247","Net non-permanent residents","Persons","249","units","0","v29768561","9.12","137","","","","0"
"1972/1973","Saskatchewan","2016A000247","Net interprovincial migration","Persons","249","units","0","v391141","9.5","-16524","","","","0"
"1972/1973","Saskatchewan","2016A000247","Residual deviation","Persons","249","units","0","v53437080","9.8","-1226","","","","0"
"1972/1973","Alberta","2016A000248","Births","Persons","249","units","0","v391083","10.1","29596","","","","0"
"1972/1973","Alberta","2016A000248","Deaths","Persons","249","units","0","v391098","10.2","10750","","","","0"
"1972/1973","Alberta","2016A000248","Immigrants","Persons","249","units","0","v391113","10.3","9300","","","","0"
"1972/1973","Alberta","2016A000248","Net emigration","Persons","249","units","0","v1566834752","10.13","3475","","","","0"
"1972/1973","Alberta","2016A000248","Emigrants","Persons","249","units","0","v29768562","10.9","7887","","","","0"
"1972/1973","Alberta","2016A000248","Returning emigrants","Persons","249","units","0","v29768563","10.10","4412","","","","0"
"1972/1973","Alberta","2016A000248","Net non-permanent residents","Persons","249","units","0","v29768565","10.12","681","","","","0"
"1972/1973","Alberta","2016A000248","Net interprovincial migration","Persons","249","units","0","v391142","10.5","5498","","","","0"
"1972/1973","Alberta","2016A000248","Residual deviation","Persons","249","units","0","v53437081","10.8","387","","","","0"
"1972/1973","British Columbia","2016A000259","Births","Persons","249","units","0","v391071","11.1","34598","","","","0"
"1972/1973","British Columbia","2016A000259","Deaths","Persons","249","units","0","v391086","11.2","17921","","","","0"
"1972/1973","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v391101","11.3","22570","","","","0"
"1972/1973","British Columbia","2016A000259","Net emigration","Persons","249","units","0","v1566834753","11.13","3764","","","","0"
"1972/1973","British Columbia","2016A000259","Emigrants","Persons","249","units","0","v29768566","11.9","8354","","","","0"
"1972/1973","British Columbia","2016A000259","Returning emigrants","Persons","249","units","0","v29768567","11.10","4590","","","","0"
"1972/1973","British Columbia","2016A000259","Net non-permanent residents","Persons","249","units","0","v29768569","11.12","778","","","","0"
"1972/1973","British Columbia","2016A000259","Net interprovincial migration","Persons","249","units","0","v391130","11.5","27193","","","","0"
"1972/1973","British Columbia","2016A000259","Residual deviation","Persons","249","units","0","v53437082","11.8","1731","","","","0"
"1972/1973","Yukon","2016A000260","Births","Persons","249","units","0","v391072","12.1","461","","","","0"
"1972/1973","Yukon","2016A000260","Deaths","Persons","249","units","0","v391087","12.2","93","","","","0"
"1972/1973","Yukon","2016A000260","Immigrants","Persons","249","units","0","v391102","12.3","124","","","","0"
"1972/1973","Yukon","2016A000260","Net emigration","Persons","249","units","0","v1566834754","12.13","42","","","","0"
"1972/1973","Yukon","2016A000260","Emigrants","Persons","249","units","0","v29768570","12.9","86","","","","0"
"1972/1973","Yukon","2016A000260","Returning emigrants","Persons","249","units","0","v29768571","12.10","44","","","","0"
"1972/1973","Yukon","2016A000260","Net non-permanent residents","Persons","249","units","0","v29768573","12.12","10","","","","0"
"1972/1973","Yukon","2016A000260","Net interprovincial migration","Persons","249","units","0","v391131","12.5","458","","","","0"
"1972/1973","Yukon","2016A000260","Residual deviation","Persons","249","units","0","v53437083","12.8","87","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Births","Persons","249","units","0","v391073","13.1","1176","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Deaths","Persons","249","units","0","v391088","13.2","260","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Immigrants","Persons","249","units","0","v391103","13.3","224","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Net emigration","Persons","249","units","0","v1566834755","13.13","13","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Emigrants","Persons","249","units","0","v29768574","13.9","31","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Returning emigrants","Persons","249","units","0","v29768575","13.10","18","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Net non-permanent residents","Persons","249","units","0","v29768577","13.12","1","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Net interprovincial migration","Persons","249","units","0","v391132","13.5","720","","","","0"
"1972/1973","Northwest Territories including Nunavut","","Residual deviation","Persons","249","units","0","v391177","13.8","134","","","","0"
"1973/1974","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","342446","","","","0"
"1973/1974","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","166284","","","","0"
"1973/1974","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","217456","","","","0"
"1973/1974","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","46754","","","","0"
"1973/1974","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","83501","","","","0"
"1973/1974","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","36747","","","","0"
"1973/1974","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","-2001","","","","0"
"1973/1974","Canada","2016A000011124","Residual deviation","Persons","249","units","0","v53437072","1.8","-28671","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Births","Persons","249","units","0","v391070","2.1","11962","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Deaths","Persons","249","units","0","v391085","2.2","3362","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v391100","2.3","1128","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834744","2.13","310","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29768530","2.9","556","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Returning emigrants","Persons","249","units","0","v29768531","2.10","246","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Net non-permanent residents","Persons","249","units","0","v29768533","2.12","-5","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Net interprovincial migration","Persons","249","units","0","v391129","2.5","-2719","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Residual deviation","Persons","249","units","0","v53437073","2.8","-2651","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Births","Persons","249","units","0","v391076","3.1","1932","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Deaths","Persons","249","units","0","v391091","3.2","1073","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Immigrants","Persons","249","units","0","v391106","3.3","377","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Net emigration","Persons","249","units","0","v1566834745","3.13","76","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Emigrants","Persons","249","units","0","v29768534","3.9","135","","","","0"
